ip,identd,user,time,request,status,size,referer,user_agent,cookie,num_params,suspicious_pattern,is_bot,label
::1,,,2024-11-08 00:19:42-03:00,GET / HTTP/1.1,302,295,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:19:42-03:00,GET /dashboard/ HTTP/1.1,200,5497,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:19:42-03:00,GET /dashboard/stylesheets/normalize.css HTTP/1.1,200,7185,http://localhost/dashboard/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:19:42-03:00,GET /dashboard/javascripts/modernizr.js HTTP/1.1,200,51683,http://localhost/dashboard/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:19:42-03:00,GET /dashboard/images/xampp-logo.svg HTTP/1.1,200,5742,http://localhost/dashboard/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:19:42-03:00,GET /dashboard/images/fastly-logo.png HTTP/1.1,200,2080,http://localhost/dashboard/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:19:42-03:00,GET /dashboard/javascripts/all.js HTTP/1.1,200,188704,http://localhost/dashboard/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:19:42-03:00,GET /dashboard/images/social-icons.png HTTP/1.1,200,3670,http://localhost/dashboard/stylesheets/all.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:19:43-03:00,GET /dashboard/images/favicon.png HTTP/1.1,200,2817,http://localhost/dashboard/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:35-03:00,GET /dashboard/index.html HTTP/1.1,200,5498,http://localhost/dashboard/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
